SOURCE,TARGET,VALUE
0,1,74
9,11,58
0,2,53
1,2,45
1,6,44
0,10,40
1,3,39
0,4,37
1,14,34
0,12,34
2,4,32
1,7,32
1,4,30
0,3,29
2,3,27
0,13,26
0,19,26
0,6,24
0,8,24
2,12,23
0,7,22
0,16,21
1,5,21
0,5,20
3,6,19
6,14,19
4,12,18
0,15,17
1,16,16
1,10,16
0,17,15
1,17,14
13,18,14
16,17,14
0,18,14
2,7,12
3,4,12
3,17,12
3,14,12
0,14,12
5,7,12
1,19,11
2,6,11
10,19,11
1,15,11
8,13,11
1,12,10
10,17,9
4,10,9
4,6,9
8,18,9
8,15,9
8,19,9
1,18,8
10,13,8
6,7,8
1,13,8
4,14,8
4,7,8
8,10,8
12,19,7
2,14,7
2,16,7
3,7,7
3,10,7
7,14,7
7,10,7
15,18,6
2,5,6
13,19,6
10,16,6
13,15,6
16,19,6
3,12,6
6,13,6
